,instance,pipeline,pre_hyper,feature_hyper,model_hyper,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination
0,1000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 3, 'max_depth': 10, 'aggregation_method': 'median', 'grace_period': 50, 'lambda_value': 6, 'tie_threshold': 0.05, 'leaf_prediction': 'model'}",21305.445958485627,44798.682296906525,0.6812523101526208,0.8128576487014262,0.3392624429475888,0.33325573788347596
1,2000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 4, 'max_depth': 10, 'aggregation_method': 'mean', 'grace_period': 350, 'lambda_value': 8, 'tie_threshold': 0.03, 'leaf_prediction': 'model'}",20717.11558686239,41838.85069420462,0.6346862622557377,0.7654570303360605,0.4140755347090994,0.41142562506708025
2,3000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 3, 'max_depth': 10, 'aggregation_method': 'median', 'grace_period': 50, 'lambda_value': 6, 'tie_threshold': 0.05, 'leaf_prediction': 'model'}",20620.571872837736,41396.53481,0.6222125948637861,0.7535168432788744,0.4322123668950403,0.4305033071298414
3,4000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 3, 'max_depth': 10, 'aggregation_method': 'median', 'grace_period': 50, 'lambda_value': 6, 'tie_threshold': 0.05, 'leaf_prediction': 'model'}",20198.397381053273,40323.332350875215,0.6119913927883758,0.7418206844695076,0.44970207209319135,0.44846079857159704
4,5000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 8, 'max_depth': 40, 'aggregation_method': 'mean', 'grace_period': 50, 'lambda_value': 4, 'tie_threshold': 0.04, 'leaf_prediction': 'model'}",19893.029936672287,39781.27683123462,0.602381424,0.7287355946471399,0.46894443309427936,0.46798661744254555
5,6000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 8, 'max_depth': 40, 'aggregation_method': 'mean', 'grace_period': 50, 'lambda_value': 4, 'tie_threshold': 0.04, 'leaf_prediction': 'model'}",19793.50012909161,39501.911428506755,0.5983576032776554,0.7238638762129609,0.4760210887139472,0.47523380821284966
6,7000,"('MinMaxScaler', 'AdaptiveRandomForestRegressor')",{},,"{'n_models': 8, 'max_depth': 40, 'aggregation_method': 'mean', 'grace_period': 50, 'lambda_value': 8, 'tie_threshold': 0.03, 'leaf_prediction': 'adaptive'}",19569.528632003818,38786.26428033998,0.5926551827993346,0.7176344012892146,0.48500086608627047,0.4843377770726477
7,8000,"('MinMaxScaler', 'SelectKBest', 'AdaptiveRandomForestRegressor')",{},{'k': 10},"{'n_models': 3, 'max_depth': 10, 'aggregation_method': 'median', 'grace_period': 50, 'lambda_value': 6, 'tie_threshold': 0.05, 'leaf_prediction': 'model'}",19437.86829642746,38355.80472509445,0.5924976484656105,0.7174460117061466,0.4852712202869437,0.4846914256664909
8,9000,"('MinMaxScaler', 'SelectKBest', 'AdaptiveRandomForestRegressor')",{},{'k': 10},"{'n_models': 3, 'max_depth': 10, 'aggregation_method': 'median', 'grace_period': 50, 'lambda_value': 6, 'tie_threshold': 0.05, 'leaf_prediction': 'model'}",19312.573371975606,38299.81784053642,0.5898359148890528,0.7174334242610583,0.4852892817530523,0.4847739984978551
9,10000,"('MinMaxScaler', 'SelectKBest', 'AdaptiveRandomForestRegressor')",{},{'k': 10},"{'n_models': 3, 'max_depth': 10, 'aggregation_method': 'median', 'grace_period': 50, 'lambda_value': 6, 'tie_threshold': 0.05, 'leaf_prediction': 'model'}",19209.695378429366,38333.44527041797,0.5868379813633547,0.7136699310998676,0.4906752294439102,0.490216378
